order_id,customer_id,order_date,status
1,1,2024-01-05,completed
2,2,2024-01-06,completed
3,3,2024-01-07,completed
4,4,2024-01-08,completed
5,5,2024-01-09,completed
6,6,2024-01-10,completed
7,7,2024-01-11,completed
8,8,2024-01-12,completed
9,9,2024-01-13,completed
10,10,2024-01-14,completed
11,11,2024-01-15,completed
12,12,2024-01-16,completed
13,13,2024-01-17,completed
14,14,2024-01-18,completed
15,15,2024-01-19,completed
16,16,2024-01-20,completed
17,17,2024-01-21,completed
18,18,2024-01-22,completed
19,19,2024-01-23,completed
20,20,2024-01-24,completed